Slogans,Just do it,Nike,100
Slogans,Taste the rainbow,Skittles,100
Slogans,Eat fresh,Subway,100
Slogans,The quicker picker upper,Bounty,200
Slogans,It keeps going and going and going,Energizer,200
Slogans,Im lovin it,Mcdonalds,200
Slogans,Can you hear me now,Verizon,300
Slogans,The snack that smiles back,Goldfish,300
Slogans,Its finger lickin good,KFC,300
Slogans,Think different,Apple,400
Slogans,The happiest place on earth,Disney,400
Slogans,Obey your thirst,Sprite,400
Slogans,Its everywhere you want to be,Visa,500
Slogans,Impossible is nothing,Adidas,500
Slogans,Live in your world play in ours,Playstation,500
